,Player,Team,Year,Conf,Age,Games,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,MPpg,PTSpg,FGpg,3Ppg,FTpg,ORBpg,DRBpg,TRBpg,ASTpg,STLpg,BLKpg,TOVpg,PFpg,Target
2291,Maalik Wayns,PHI,2012,EAST,21,27,202,76,26,88,0.295,7,31,0.226,17,19,0.895,1,6,7,27,6,0,15,26,7.48,2.8,0.96,0.26,0.63,0.04,0.22,0.3,1,0.22,0,0.56,0.96,0
2292,Chris Wright,DAL,2013,WEST,23,3,4,2,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.33,0.7,0.33,0,0,0,0,0,0,0,0,0.33,0,0
2293,Tony Wroten,MEM,2012,WEST,19,35,272,91,33,86,0.384,4,16,0.25,21,29,0.724,13,15,28,43,8,4,29,34,7.77,2.6,0.94,0.11,0.6,0.37,0.43,0.8,1.2,0.23,0.11,0.83,0.97,1
2294,Luke Zeller,PHO,2012,WEST,25,16,58,19,9,26,0.346,1,5,0.2,0,0,0,1,9,10,3,0,0,0,5,3.62,1.2,0.56,0.06,0,0.06,0.56,0.6,0.2,0,0,0,0.31,0
2295,Tyler Zeller,CLE,2012,EAST,23,77,2033,610,245,559,0.438,0,4,0,120,157,0.764,159,279,438,96,35,70,95,251,26.4,7.9,3.18,0,1.56,2.06,3.62,5.7,1.2,0.45,0.91,1.23,3.26,1
2296,Steven Adams,OKC,2013,WEST,20,81,1197,265,93,185,0.503,0,0,0,79,136,0.581,142,190,332,43,40,57,71,203,14.78,3.3,1.15,0,0.98,1.75,2.35,4.1,0.5,0.49,0.7,0.88,2.51,1
2297,Giannis Antetokounmpo,MIL,2013,EAST,19,77,1897,525,173,418,0.414,41,118,0.347,138,202,0.683,78,261,339,150,60,61,122,173,24.64,6.8,2.25,0.53,1.79,1.01,3.39,4.4,1.9,0.78,0.79,1.58,2.25,1
2298,Pero Antić,ATL,2013,EAST,31,50,925,352,123,294,0.418,56,171,0.327,50,66,0.758,57,152,209,58,19,12,55,126,18.5,7,2.46,1.12,1,1.14,3.04,4.2,1.2,0.38,0.24,1.1,2.52,0
2299,Chris Babb,BOS,2014,EAST,23,14,132,22,8,30,0.267,6,27,0.222,0,0,0,4,13,17,3,6,0,3,13,9.43,1.6,0.57,0.43,0,0.29,0.93,1.2,0.2,0.43,0,0.21,0.93,0
2300,Anthony Bennett,CLE,2013,EAST,20,52,663,217,80,225,0.356,13,53,0.245,44,69,0.638,49,106,155,17,21,8,47,93,12.75,4.2,1.54,0.25,0.85,0.94,2.04,3,0.3,0.4,0.15,0.9,1.79,1
2301,Vander Blue,BOS,2014,EAST,21,3,15,5,2,4,0.5,0,1,0,1,5,0.2,0,3,3,1,0,0,2,1,5,1.7,0.67,0,0.33,0,1,1,0.3,0,0,0.67,0.33,1
2302,Lorenzo Brown,PHI,2013,EAST,23,26,224,64,26,86,0.302,3,30,0.1,9,13,0.692,8,20,28,41,13,3,16,19,8.62,2.5,1,0.12,0.35,0.31,0.77,1.1,1.6,0.5,0.12,0.62,0.73,1
2303,Reggie Bullock,LAC,2013,WEST,22,43,395,115,43,121,0.355,22,73,0.301,7,9,0.778,11,43,54,12,9,1,13,26,9.19,2.7,1,0.51,0.16,0.26,1,1.3,0.3,0.21,0.02,0.3,0.6,1
2304,Trey Burke,UTA,2013,WEST,21,70,2262,895,341,897,0.38,111,336,0.33,102,113,0.903,37,171,208,396,42,6,131,145,32.31,12.8,4.87,1.59,1.46,0.53,2.44,3,5.7,0.6,0.09,1.87,2.07,1
2305,Dwight Buycks,TOR,2013,EAST,24,14,146,43,15,48,0.313,5,17,0.294,8,9,0.889,4,19,23,10,8,0,10,11,10.43,3.1,1.07,0.36,0.57,0.29,1.36,1.6,0.7,0.57,0,0.71,0.79,1
2306,Nick Calathes,MEM,2013,WEST,24,71,1173,347,142,311,0.457,19,61,0.311,44,72,0.611,23,114,137,207,66,8,101,117,16.52,4.9,2,0.27,0.62,0.32,1.61,1.9,2.9,0.93,0.11,1.42,1.65,0
2307,Kentavious Caldwell-Pope,DET,2013,EAST,20,80,1583,470,182,460,0.396,59,185,0.319,47,61,0.77,38,118,156,55,75,12,28,145,19.79,5.9,2.28,0.74,0.59,0.48,1.48,2,0.7,0.94,0.15,0.35,1.81,1
2308,Isaiah Canaan,HOU,2013,EAST,22,22,252,101,31,87,0.356,18,55,0.327,21,29,0.724,7,17,24,22,8,4,21,25,11.45,4.6,1.41,0.82,0.95,0.32,0.77,1.1,1,0.36,0.18,0.95,1.14,1
2309,Michael Carter-Williams,PHI,2013,EAST,22,70,2414,1167,427,1054,0.405,55,208,0.264,258,367,0.703,101,336,437,441,130,43,247,213,34.49,16.7,6.1,0.79,3.69,1.44,4.8,6.2,6.3,1.86,0.61,3.53,3.04,1
2310,Dionte Christmas,PHO,2013,WEST,27,31,198,71,22,62,0.355,9,31,0.29,18,24,0.75,13,25,38,8,2,3,6,19,6.39,2.3,0.71,0.29,0.58,0.42,0.81,1.2,0.3,0.06,0.1,0.19,0.61,0
2311,Ian Clark,UTA,2013,WEST,22,23,172,68,26,67,0.388,11,31,0.355,5,7,0.714,3,16,19,15,8,2,14,24,7.48,3,1.13,0.48,0.22,0.13,0.7,0.8,0.7,0.35,0.09,0.61,1.04,1
2312,Robert Covington,HOU,2014,EAST,23,7,34,16,6,14,0.429,4,11,0.364,0,0,0,2,3,5,0,2,0,1,3,4.86,2.3,0.86,0.57,0,0.29,0.43,0.7,0,0.29,0,0.14,0.43,1
2313,Allen Crabbe,POR,2013,WEST,21,15,100,33,12,33,0.364,6,14,0.429,3,4,0.75,1,8,9,6,2,1,3,10,6.67,2.2,0.8,0.4,0.2,0.07,0.53,0.6,0.4,0.13,0.07,0.2,0.67,1
2314,Seth Curry,MEM,2014,WEST,23,2,13,3,1,3,0.333,1,1,1,0,0,0,0,1,1,0,2,0,0,0,6.5,1.5,0.5,0.5,0,0,0.5,0.5,0,1,0,0,0,1
2315,Troy Daniels,HOU,2014,EAST,22,5,75,42,15,31,0.484,12,25,0.48,0,0,0,0,4,4,5,0,0,3,6,15,8.4,3,2.4,0,0,0.8,0.8,1,0,0,0.6,1.2,1
2316,Gigi Datome,DET,2013,EAST,26,34,238,83,34,97,0.351,7,39,0.179,8,10,0.8,14,32,46,11,6,1,11,20,7,2.4,1,0.21,0.24,0.41,0.94,1.4,0.3,0.18,0.03,0.32,0.59,0
2317,Brandon Davies,PHI,2013,EAST,22,51,575,144,54,128,0.422,2,10,0.2,34,53,0.642,38,71,109,28,24,8,35,92,11.27,2.8,1.06,0.04,0.67,0.75,1.39,2.1,0.5,0.47,0.16,0.69,1.8,0
2318,Dewayne Dedmon,GSW,2013,WEST,24,31,390,97,38,83,0.458,0,0,0,21,32,0.656,38,89,127,5,7,22,18,66,12.58,3.1,1.23,0,0.68,1.23,2.87,4.1,0.2,0.23,0.71,0.58,2.13,1
2319,Matthew Dellavedova,CLE,2013,EAST,23,72,1271,339,122,296,0.412,57,155,0.368,38,48,0.792,29,94,123,187,33,5,60,121,17.65,4.7,1.69,0.79,0.53,0.4,1.31,1.7,2.6,0.46,0.07,0.83,1.68,1
2320,Gorgui Dieng,MIN,2013,EAST,24,60,818,286,113,227,0.498,1,1,1,59,93,0.634,103,197,300,39,30,50,54,108,13.63,4.8,1.88,0.02,0.98,1.72,3.28,5,0.7,0.5,0.83,0.9,1.8,1
2321,Shane Edwards,CLE,2014,EAST,26,2,12,2,1,3,0.333,0,0,0,0,0,0,1,1,2,0,0,0,1,1,6,1,0.5,0,0,0.5,0.5,1,0,0,0,0.5,0.5,0
2322,Vítor Luiz Faverani,BOS,2013,EAST,25,37,488,164,64,147,0.435,12,40,0.3,24,37,0.649,42,86,128,16,14,27,41,74,13.19,4.4,1.73,0.32,0.65,1.14,2.32,3.5,0.4,0.38,0.73,1.11,2,0
2323,Carrick Felix,CLE,2013,EAST,23,7,38,19,7,14,0.5,2,5,0.4,3,4,0.75,1,5,6,4,0,0,4,4,5.43,2.7,1,0.29,0.43,0.14,0.71,0.9,0.6,0,0,0.57,0.57,0
2324,Jamaal Franklin,MEM,2013,WEST,22,21,161,39,16,39,0.41,5,11,0.455,2,2,1,4,19,23,6,4,2,11,23,7.67,1.9,0.76,0.24,0.1,0.19,0.9,1.1,0.3,0.19,0.1,0.52,1.1,0
2325,Rudy Gobert,UTA,2013,WEST,21,45,434,104,36,74,0.486,0,0,0,32,65,0.492,51,104,155,7,8,41,32,57,9.64,2.3,0.8,0,0.71,1.13,2.31,3.4,0.2,0.18,0.91,0.71,1.27,1
2326,Archie Goodwin,PHO,2013,WEST,19,52,533,194,76,167,0.455,5,36,0.139,37,55,0.673,25,62,87,20,20,11,44,45,10.25,3.7,1.46,0.1,0.71,0.48,1.19,1.7,0.4,0.38,0.21,0.85,0.87,1
2327,Jorge Gutiérrez,BRK,2014,EAST,25,15,244,62,25,54,0.463,3,12,0.25,9,12,0.75,3,19,22,30,10,1,14,37,16.27,4.1,1.67,0.2,0.6,0.2,1.27,1.5,2,0.67,0.07,0.93,2.47,1
2328,Justin Hamilton,CHA,2014,EAST,23,8,72,26,9,20,0.45,3,9,0.333,5,5,1,4,3,7,0,5,0,4,8,9,3.3,1.12,0.38,0.62,0.5,0.38,0.9,0,0.62,0,0.5,1,1
2329,Tim Hardaway Jr.,NYK,2013,EAST,21,81,1875,824,294,687,0.428,130,358,0.363,106,128,0.828,19,102,121,66,44,7,47,144,23.15,10.2,3.63,1.6,1.31,0.23,1.26,1.5,0.8,0.54,0.09,0.58,1.78,1
2330,Elias Harris,LAL,2013,WEST,24,2,11,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,5.5,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0
2331,Solomon Hill,IND,2013,EAST,22,28,226,47,17,40,0.425,7,23,0.304,6,7,0.857,9,32,41,12,5,2,13,19,8.07,1.7,0.61,0.25,0.21,0.32,1.14,1.5,0.4,0.18,0.07,0.46,0.68,1
2332,Scotty Hopson,CLE,2014,EAST,24,2,7,1,0,4,0,0,2,0,1,2,0.5,0,0,0,1,1,0,0,0,3.5,0.5,0,0,0.5,0,0,0,0.5,0.5,0,0,0,1
2333,Robbie Hummel,MIN,2013,EAST,24,53,655,181,67,177,0.379,32,89,0.36,15,16,0.938,35,97,132,23,16,2,10,57,12.36,3.4,1.26,0.6,0.28,0.66,1.83,2.5,0.4,0.3,0.04,0.19,1.08,0
2334,Sergey Karasev,CLE,2013,EAST,20,22,156,37,12,35,0.343,4,19,0.211,9,10,0.9,0,16,16,6,3,1,11,22,7.09,1.7,0.55,0.18,0.41,0,0.73,0.7,0.3,0.14,0.05,0.5,1,1
2335,Ryan Kelly,LAL,2013,WEST,22,59,1312,472,157,371,0.423,48,142,0.338,110,135,0.815,42,177,219,95,32,45,47,147,22.24,8,2.66,0.81,1.86,0.71,3,3.7,1.6,0.54,0.76,0.8,2.49,1
2336,Ognjen Kuzmić,GSW,2013,WEST,23,21,92,15,5,13,0.385,0,0,0,5,11,0.455,10,11,21,2,3,4,10,17,4.38,0.7,0.24,0,0.24,0.48,0.52,1,0.1,0.14,0.19,0.48,0.81,0
2337,Shane Larkin,DAL,2013,WEST,21,48,489,132,52,137,0.38,12,38,0.316,16,25,0.64,11,31,42,71,26,1,39,46,10.19,2.8,1.08,0.25,0.33,0.23,0.65,0.9,1.5,0.54,0.02,0.81,0.96,1
2338,Ricky Ledo,DAL,2013,WEST,21,11,33,19,6,17,0.353,3,8,0.375,4,4,1,0,2,2,2,1,0,2,2,3,1.7,0.55,0.27,0.36,0,0.18,0.2,0.2,0.09,0,0.18,0.18,0
2339,Alex Len,PHO,2013,WEST,20,42,362,86,33,78,0.423,0,0,0,20,31,0.645,39,60,99,4,4,18,26,68,8.62,2,0.79,0,0.48,0.93,1.43,2.4,0.1,0.1,0.43,0.62,1.62,1
2340,Ray McCallum,SAC,2013,WEST,22,45,897,280,113,300,0.377,22,59,0.373,32,43,0.744,18,61,79,120,22,9,39,69,19.93,6.2,2.51,0.49,0.71,0.4,1.36,1.8,2.7,0.49,0.2,0.87,1.53,1
2341,CJ McCollum,POR,2014,WEST,22,38,476,201,74,178,0.416,30,80,0.375,23,34,0.676,7,41,48,27,14,2,35,53,12.53,5.3,1.95,0.79,0.61,0.18,1.08,1.3,0.7,0.37,0.05,0.92,1.39,1
2342,Ben McLemore,SAC,2013,WEST,20,82,2187,720,255,679,0.376,95,297,0.32,115,143,0.804,53,182,235,82,45,18,96,201,26.67,8.8,3.11,1.16,1.4,0.65,2.22,2.9,1,0.55,0.22,1.17,2.45,1
2343,Gal Mekel,DAL,2013,WEST,25,31,292,73,30,86,0.349,5,20,0.25,8,12,0.667,5,22,27,63,4,1,31,31,9.42,2.4,0.97,0.16,0.26,0.16,0.71,0.9,2,0.13,0.03,1,1,0
2344,Tony Mitchell,DET,2013,EAST,21,21,79,22,5,12,0.417,1,1,1,11,19,0.579,15,11,26,2,6,3,4,9,3.76,1,0.24,0.05,0.52,0.71,0.52,1.2,0.1,0.29,0.14,0.19,0.43,0
2345,Tony Mitchell,MIL,2014,EAST,24,3,10,6,3,5,0.6,0,1,0,0,0,0,1,0,1,1,1,0,0,0,3.33,2,1,0,0,0.33,0,0.3,0.3,0.33,0,0,0,0
2346,Shabazz Muhammad,MIN,2013,EAST,21,37,290,143,57,124,0.46,3,11,0.273,26,40,0.65,24,29,53,6,8,1,16,24,7.84,3.9,1.54,0.08,0.7,0.65,0.78,1.4,0.2,0.22,0.03,0.43,0.65,1
2347,Erik Murphy,CHI,2013,EAST,23,24,62,6,3,13,0.231,0,3,0,0,0,0,2,6,8,2,0,4,2,7,2.58,0.3,0.12,0,0,0.08,0.25,0.3,0.1,0,0.17,0.08,0.29,0
2348,Toure' Murry,NYK,2013,EAST,24,51,373,140,56,129,0.434,5,12,0.417,23,39,0.59,13,31,44,49,19,1,34,46,7.31,2.7,1.1,0.1,0.45,0.25,0.61,0.9,1,0.37,0.02,0.67,0.9,0
2349,Mike Muscala,ATL,2014,EAST,22,20,215,76,31,73,0.425,0,3,0,14,14,1,17,35,52,7,3,10,12,29,10.75,3.8,1.55,0,0.7,0.85,1.75,2.6,0.4,0.15,0.5,0.6,1.45,1
2350,Nemanja Nedović,GSW,2013,WEST,22,24,142,26,8,39,0.205,3,18,0.167,7,8,0.875,3,12,15,13,0,1,13,13,5.92,1.1,0.33,0.12,0.29,0.12,0.5,0.6,0.5,0,0.04,0.54,0.54,0
2351,James Nunnally,ATL,2014,EAST,23,13,165,44,15,46,0.326,8,25,0.32,6,9,0.667,1,18,19,8,6,2,7,11,12.69,3.4,1.15,0.62,0.46,0.08,1.38,1.5,0.6,0.46,0.15,0.54,0.85,1
2352,Victor Oladipo,ORL,2013,EAST,21,80,2487,1106,392,936,0.419,74,226,0.327,248,318,0.78,43,286,329,327,129,37,256,210,31.09,13.8,4.9,0.92,3.1,0.54,3.58,4.1,4.1,1.61,0.46,3.2,2.62,1
2353,Kelly Olynyk,BOS,2013,EAST,22,70,1400,607,234,502,0.466,40,114,0.351,99,122,0.811,140,225,365,109,35,27,106,227,20,8.7,3.34,0.57,1.41,2,3.21,5.2,1.6,0.5,0.39,1.51,3.24,1
2354,Arinze Onuaku,NOP,2013,WEST,26,5,30,3,1,5,0.2,0,0,0,1,2,0.5,2,6,8,3,0,0,1,3,6,0.6,0.2,0,0.2,0.4,1.2,1.6,0.6,0,0,0.2,0.6,1
2355,Mason Plumlee,BRK,2013,EAST,23,70,1275,520,199,302,0.659,0,3,0,122,195,0.626,99,209,308,60,49,55,77,171,18.21,7.4,2.84,0,1.74,1.41,2.99,4.4,0.9,0.7,0.79,1.1,2.44,1
2356,Otto Porter Jr.,WAS,2013,EAST,20,37,319,78,33,91,0.363,4,21,0.19,8,12,0.667,21,36,57,10,8,1,14,26,8.62,2.1,0.89,0.11,0.22,0.57,0.97,1.5,0.3,0.22,0.03,0.38,0.7,1
2357,Phil Pressey,BOS,2013,EAST,22,75,1132,213,78,253,0.308,28,106,0.264,29,45,0.644,20,85,105,241,68,5,87,97,15.09,2.8,1.04,0.37,0.39,0.27,1.13,1.4,3.2,0.91,0.07,1.16,1.29,1
2358,Miroslav Raduljica,MIL,2013,EAST,26,48,465,181,68,126,0.54,0,0,0,45,55,0.818,54,54,108,23,7,13,28,84,9.69,3.8,1.42,0,0.94,1.12,1.12,2.3,0.5,0.15,0.27,0.58,1.75,0
2359,Glen Rice Jr.,WAS,2013,EAST,23,11,109,32,11,37,0.297,5,17,0.294,5,7,0.714,4,16,20,7,6,1,9,7,9.91,2.9,1,0.45,0.45,0.36,1.45,1.8,0.6,0.55,0.09,0.82,0.64,0
2360,Andre Roberson,OKC,2013,WEST,22,40,399,75,33,68,0.485,2,13,0.154,7,10,0.7,36,58,94,15,19,10,19,74,9.98,1.9,0.82,0.05,0.18,0.9,1.45,2.4,0.4,0.48,0.25,0.48,1.85,1
2361,Dennis Schröder,ATL,2013,EAST,20,49,641,183,72,188,0.383,10,42,0.238,29,43,0.674,5,55,60,93,17,0,61,54,13.08,3.7,1.47,0.2,0.59,0.1,1.12,1.2,1.9,0.35,0,1.24,1.1,1
2362,Peyton Siva,DET,2013,EAST,23,24,224,54,18,57,0.316,7,25,0.28,11,15,0.733,2,12,14,34,9,1,18,27,9.33,2.3,0.75,0.29,0.46,0.08,0.5,0.6,1.4,0.38,0.04,0.75,1.12,0
2363,Chris Smith,NYK,2013,EAST,26,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2364,Tony Snell,CHI,2013,EAST,22,77,1231,346,129,336,0.384,57,178,0.32,31,41,0.756,19,105,124,68,29,15,44,84,15.99,4.5,1.68,0.74,0.4,0.25,1.36,1.6,0.9,0.38,0.19,0.57,1.09,1
2365,James Southerland,CHA,2013,EAST,23,4,30,14,5,15,0.333,3,6,0.5,1,2,0.5,0,8,8,0,1,2,1,3,7.5,3.5,1.25,0.75,0.25,0,2,2,0,0.25,0.5,0.25,0.75,0
2366,D.J. Stephens,MIL,2014,EAST,23,3,15,7,3,7,0.429,0,0,0,1,1,1,1,4,5,0,0,0,0,0,5,2.3,1,0,0.33,0.33,1.33,1.7,0,0,0,0,0,0
2367,Adonis Thomas,ORL,2014,EAST,20,6,37,14,6,14,0.429,1,5,0.2,1,1,1,0,3,3,3,0,0,1,6,6.17,2.3,1,0.17,0.17,0,0.5,0.5,0.5,0,0,0.17,1,0
2368,Hollis Thompson,PHI,2013,EAST,22,77,1742,461,171,372,0.46,67,167,0.401,52,73,0.712,73,174,247,73,53,12,60,144,22.62,6,2.22,0.87,0.68,0.95,2.26,3.2,0.9,0.69,0.16,0.78,1.87,1
2369,Casper Ware,PHI,2014,EAST,24,9,116,48,18,42,0.429,7,21,0.333,5,6,0.833,0,9,9,10,8,0,5,11,12.89,5.3,2,0.78,0.56,0,1,1,1.1,0.89,0,0.56,1.22,0
2370,Royce White,SAC,2014,WEST,22,3,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.67,0
2371,Jeff Withey,NOP,2013,WEST,23,58,684,190,69,129,0.535,0,1,0,52,73,0.712,49,101,150,26,15,50,20,73,11.79,3.3,1.19,0,0.9,0.84,1.74,2.6,0.4,0.26,0.86,0.34,1.26,1
2372,Nate Wolters,MIL,2013,EAST,22,58,1309,417,170,389,0.437,18,62,0.29,59,90,0.656,33,116,149,187,35,15,57,67,22.57,7.2,2.93,0.31,1.02,0.57,2,2.6,3.2,0.6,0.26,0.98,1.16,1
2373,Cody Zeller,CHA,2013,EAST,21,82,1416,490,172,404,0.426,0,1,0,146,200,0.73,118,235,353,92,40,41,87,170,17.27,6,2.1,0,1.78,1.44,2.87,4.3,1.1,0.49,0.5,1.06,2.07,1
2374,Jordan Adams,MEM,2014,WEST,20,30,248,94,35,86,0.407,10,25,0.4,14,23,0.609,9,19,28,16,16,7,14,24,8.27,3.1,1.17,0.33,0.47,0.3,0.63,0.9,0.5,0.53,0.23,0.47,0.8,0
2375,Furkan Aldemir,PHI,2014,EAST,23,41,540,93,40,78,0.513,0,5,0,13,27,0.481,78,98,176,28,17,16,17,96,13.17,2.3,0.98,0,0.32,1.9,2.39,4.3,0.7,0.41,0.39,0.41,2.34,0
2376,Kyle Anderson,SAS,2014,WEST,21,33,358,74,31,89,0.348,3,11,0.273,9,14,0.643,5,67,72,28,15,7,10,28,10.85,2.2,0.94,0.09,0.27,0.15,2.03,2.2,0.8,0.45,0.21,0.3,0.85,1
2377,Cameron Bairstow,CHI,2014,EAST,24,18,64,10,3,14,0.214,0,0,0,4,5,0.8,6,2,8,1,2,1,3,8,3.56,0.6,0.17,0,0.22,0.33,0.11,0.4,0.1,0.11,0.06,0.17,0.44,0
2378,Jerrelle Benimon,UTA,2015,WEST,23,2,3,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,0,1.5,0,0,0,0,0.5,1,1.5,0,0,0,0.5,0,0
2379,Sim Bhullar,SAC,2015,WEST,22,3,3,2,1,2,0.5,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0.7,0.33,0,0,0,0.33,0.3,0.3,0,0.33,0,0,0
2380,Tarik Black,HOU,2014,EAST,23,63,1196,379,157,273,0.575,0,1,0,65,118,0.551,142,226,368,42,19,24,48,158,18.98,6,2.49,0,1.03,2.25,3.59,5.8,0.7,0.3,0.38,0.76,2.51,1
2381,Bojan Bogdanović,BRK,2014,EAST,25,78,1854,700,261,576,0.453,91,256,0.355,87,106,0.821,50,163,213,68,34,9,78,104,23.77,9,3.35,1.17,1.12,0.64,2.09,2.7,0.9,0.44,0.12,1,1.33,1
2382,Jabari Brown,LAL,2015,WEST,22,19,568,227,70,170,0.412,23,62,0.371,64,85,0.753,3,33,36,40,12,2,32,33,29.89,11.9,3.68,1.21,3.37,0.16,1.74,1.9,2.1,0.63,0.11,1.68,1.74,0
2383,Markel Brown,BRK,2014,EAST,23,47,781,216,76,210,0.362,17,64,0.266,47,57,0.825,16,91,107,39,31,12,27,57,16.62,4.6,1.62,0.36,1,0.34,1.94,2.3,0.8,0.66,0.26,0.57,1.21,1
2384,Bruno Caboclo,TOR,2014,EAST,19,8,23,10,4,12,0.333,2,3,0.667,0,0,0,1,1,2,0,0,1,4,3,2.88,1.3,0.5,0.25,0,0.12,0.12,0.3,0,0,0.12,0.5,0.38,1
2385,Clint Capela,HOU,2014,EAST,20,12,90,32,14,29,0.483,0,0,0,4,23,0.174,10,26,36,2,1,9,5,14,7.5,2.7,1.17,0,0.33,0.83,2.17,3,0.2,0.08,0.75,0.42,1.17,1
2386,Will Cherry,CLE,2014,EAST,23,8,69,15,5,19,0.263,2,9,0.222,3,6,0.5,1,4,5,8,6,1,4,10,8.62,1.9,0.62,0.25,0.38,0.12,0.5,0.6,1,0.75,0.12,0.5,1.25,0
2387,Patrick Christopher,UTA,2014,WEST,26,4,29,6,3,12,0.25,0,4,0,0,0,0,2,4,6,0,1,0,1,6,7.25,1.5,0.75,0,0,0.5,1,1.5,0,0.25,0,0.25,1.5,0
2388,Jordan Clarkson,LAL,2014,WEST,22,59,1476,703,267,596,0.448,38,121,0.314,131,158,0.829,56,135,191,206,51,12,96,109,25.02,11.9,4.53,0.64,2.22,0.95,2.29,3.2,3.5,0.86,0.2,1.63,1.85,1
2389,Jack Cooley,UTA,2015,WEST,23,16,87,27,9,22,0.409,0,0,0,9,21,0.429,10,15,25,1,6,3,3,23,5.44,1.7,0.56,0,0.56,0.62,0.94,1.6,0.1,0.38,0.19,0.19,1.44,0
2390,Bryce Cotton,UTA,2015,WEST,22,15,159,80,29,69,0.42,7,20,0.35,15,18,0.833,3,15,18,15,4,0,12,6,10.6,5.3,1.93,0.47,1,0.2,1,1.2,1,0.27,0,0.8,0.4,0
2391,Andre Dawkins,MIA,2014,EAST,23,4,22,3,1,6,0.167,1,6,0.167,0,0,0,0,2,2,1,0,0,1,3,5.5,0.8,0.25,0.25,0,0,0.5,0.5,0.3,0,0,0.25,0.75,0
2392,Spencer Dinwiddie,DET,2014,EAST,21,34,455,145,51,169,0.302,12,65,0.185,31,34,0.912,4,44,48,104,19,6,33,53,13.38,4.3,1.5,0.35,0.91,0.12,1.29,1.4,3.1,0.56,0.18,0.97,1.56,1
2393,Zoran Dragić,PHO,2014,WEST,25,16,75,28,11,30,0.367,3,14,0.214,3,5,0.6,5,3,8,5,2,0,5,6,4.69,1.8,0.69,0.19,0.19,0.31,0.19,0.5,0.3,0.12,0,0.31,0.38,0
2394,Larry Drew II,PHI,2015,EAST,24,12,219,46,20,58,0.345,4,26,0.154,2,3,0.667,1,14,15,45,6,0,25,13,18.25,3.8,1.67,0.33,0.17,0.08,1.17,1.3,3.8,0.5,0,2.08,1.08,0
2395,Cleanthony Early,NYK,2014,EAST,23,39,647,210,76,214,0.355,22,84,0.262,36,48,0.75,22,75,97,36,24,12,40,57,16.59,5.4,1.95,0.56,0.92,0.56,1.92,2.5,0.9,0.62,0.31,1.03,1.46,0
2396,James Ennis III,MIA,2014,EAST,24,62,1051,312,101,247,0.409,31,95,0.326,79,94,0.84,51,125,176,48,25,17,39,89,16.95,5,1.63,0.5,1.27,0.82,2.02,2.8,0.8,0.4,0.27,0.63,1.44,1
2397,Tyler Ennis,PHO,2014,WEST,20,33,411,121,52,144,0.361,12,43,0.279,5,7,0.714,7,28,35,73,18,5,42,36,12.45,3.7,1.58,0.36,0.15,0.21,0.85,1.1,2.2,0.55,0.15,1.27,1.09,1
2398,Dante Exum,UTA,2014,WEST,19,82,1817,393,145,416,0.349,83,264,0.314,20,32,0.625,27,104,131,198,41,14,118,147,22.16,4.8,1.77,1.01,0.24,0.33,1.27,1.6,2.4,0.5,0.17,1.44,1.79,1
2399,Tim Frazier,PHI,2015,EAST,24,11,239,57,21,61,0.344,5,17,0.294,10,21,0.476,6,22,28,60,8,0,25,26,21.73,5.2,1.91,0.45,0.91,0.55,2,2.5,5.5,0.73,0,2.27,2.36,1
2400,Langston Galloway,NYK,2015,EAST,23,45,1457,533,204,511,0.399,62,176,0.352,63,78,0.808,37,153,190,150,52,12,61,129,32.38,11.8,4.53,1.38,1.4,0.82,3.4,4.2,3.3,1.16,0.27,1.36,2.87,1
2401,Aaron Gordon,ORL,2014,EAST,19,47,797,243,93,208,0.447,13,48,0.271,44,61,0.721,46,123,169,33,21,22,38,83,16.96,5.2,1.98,0.28,0.94,0.98,2.62,3.6,0.7,0.45,0.47,0.81,1.77,1
2402,Drew Gordon,PHI,2014,EAST,24,9,71,17,8,19,0.421,0,3,0,1,2,0.5,7,11,18,2,1,0,8,7,7.89,1.9,0.89,0,0.11,0.78,1.22,2,0.2,0.11,0,0.89,0.78,0
2403,Jerami Grant,PHI,2014,EAST,20,65,1377,411,124,352,0.352,49,156,0.314,114,193,0.591,49,149,198,79,40,68,85,144,21.18,6.3,1.91,0.75,1.75,0.75,2.29,3,1.2,0.62,1.05,1.31,2.22,1
2404,Erick Green,DEN,2014,WEST,23,43,410,146,61,162,0.377,14,47,0.298,10,12,0.833,7,24,31,39,12,0,14,26,9.53,3.4,1.42,0.33,0.23,0.16,0.56,0.7,0.9,0.28,0,0.33,0.6,0
2405,JaMychal Green,SAS,2015,WEST,24,24,164,62,27,47,0.574,0,6,0,8,10,0.8,19,26,45,4,5,5,14,25,6.83,2.6,1.12,0,0.33,0.79,1.08,1.9,0.2,0.21,0.21,0.58,1.04,1
